ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,3.14,3.5,0,3.51,0,3.62,11.25,0,4.83,6.71,2.04
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,3.5,0,0,0,7.24,0,4.01,14.49,13.41,2.04
C16-C16.9 Stomaco,0,0,0,0,0,0,0,3.03,15.72,0,14.34,17.55,33.57,65.16,82.53,80.17,207.71,140.83,33.56
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,8.02,0,6.71,0.91
C18-C18.9 Colon,0,0,0,0,0,0,6.32,0,22.01,17.51,46.59,49.14,111.88,108.61,120.05,188.41,212.54,241.42,58.95
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,3.58,10.53,7.46,18.1,26.26,36.08,19.32,26.82,7.94
C20-C20.9 Retto,0,0,0,0,0,0,0,3.03,0,10.51,17.92,28.08,11.19,54.3,45.02,60.13,48.31,20.12,17.01
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.5,7.17,0,7.46,0,3.75,0,4.83,0,1.59
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,3.66,0,0,0,0,0,7.02,18.65,36.2,52.52,40.09,28.98,40.24,12.24
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.58,10.53,0,7.24,18.76,28.06,14.49,13.41,5.21
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,3.58,3.51,7.46,3.62,11.25,12.03,4.83,33.53,3.85
C25-C25.9 Pancreas,0,0,0,0,0,0,3.16,3.03,0,3.5,3.58,17.55,33.57,28.96,37.51,56.12,53.14,87.18,16.78
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,4.01,0,0,0.45
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,3.03,6.29,21.01,32.25,28.08,52.21,47.06,75.03,88.19,91.78,93.89,29.02
C43-C43.9 Melanoma della pelle,0,0,0,0,0,3.66,12.64,3.03,6.29,10.51,21.5,7.02,11.19,14.48,7.5,20.04,9.66,26.82,8.84
C44-C44.9 Pelle non melanomi,0,0,0,5.47,0,0,15.8,9.08,18.86,45.52,35.84,49.14,93.24,123.09,183.82,292.63,434.75,476.14,89.33
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,3.66,0,0,0,3.5,0,3.51,0,0,0,0,0,6.71,0.91
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,3.03,3.14,0,3.58,7.02,0,7.24,7.5,12.03,4.83,6.71,3.17
C50-C50.9 Mammella,0,0,0,5.47,0,10.97,15.8,39.35,116.32,224.11,283.12,203.57,335.65,278.75,202.58,344.74,333.31,160.95,149.64
C64-C64.9 Rene eccet.pelvi renale,5.74,0,0,0,0,0,3.16,6.05,0,10.51,10.75,31.59,22.38,21.72,18.76,32.07,53.14,6.71,12.7
C67-C67.9 Vescica,0,0,0,0,0,0,0,0,0,0,10.75,14.04,18.65,32.58,48.77,48.1,57.97,60.36,15.19
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,3.5,3.58,3.51,0,7.24,0,0,0,0,1.13
C71-C71.9 Cervello,0,0,0,5.47,0,3.66,12.64,3.03,3.14,3.5,7.17,14.04,3.73,14.48,11.25,24.05,28.98,20.12,8.62
C73-C73.9 Ghiandola tiroide,0,0,0,0,9.44,25.6,18.96,15.13,18.86,31.52,28.67,17.55,22.38,14.48,26.26,16.03,0,6.71,15.87
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,0,0,0,3.73,3.62,7.5,4.01,4.83,26.82,2.27
C81-C81.9 Malattia di Hodgkin,0,0,0,5.47,4.72,7.31,3.16,9.08,9.43,10.51,3.58,3.51,3.73,3.62,0,0,0,0,4.08
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,3.16,0,0,0,0,3.51,3.73,7.24,0,0,0,13.41,1.59
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,5.74,0,0,3.66,3.16,3.03,3.14,7,10.75,7.02,11.19,14.48,15.01,12.03,28.98,13.41,7.71
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,0,0,3.03,6.29,0,3.58,17.55,11.19,25.34,41.27,28.06,33.81,20.12,10.66
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0.23
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,6.29,3.5,3.58,17.55,7.46,25.34,7.5,32.07,14.49,40.24,8.39
C91-C91.9 Leucemia linfoide,11.49,18.41,5.74,0,0,0,0,0,0,0,3.58,3.51,11.19,14.48,11.25,20.04,14.49,13.41,6.35
C92-C92.9 Leucemia mieloide,5.74,0,0,0,0,0,0,3.03,3.14,7,0,7.02,14.92,3.62,22.51,12.03,38.64,0,6.58
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,6.29,0,3.58,0,3.73,14.48,3.75,8.02,19.32,0,3.4
