ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,3.5,0,14.98,4.04,28.69,9.03,23.67,20.54,75.1,6.08
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,0,0,11.24,16.15,0,4.51,0,10.27,0,2.28
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,7.49,0,8.2,9.03,0,0,0,1.52
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,7.89,0,0,0.76
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,10.27,0,0.51
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,0,0,3.75,4.04,4.1,4.51,0,0,0,1.01
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,0,7.89,20.54,0,1.27
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,3.5,0,0,4.04,0,0,0,0,18.77,0.76
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0.76
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,0,3.75,4.04,16.39,4.51,0,0,0,1.77
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,4.08,3.75,0,8.2,0,15.78,0,0,1.52
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,3.5,4.08,3.75,8.07,4.1,0,0,0,0,1.52
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,4.08,0,4.04,4.1,0,0,0,0,0.76
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,4.04,4.1,9.03,0,0,0,1.01
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,3.5,4.08,3.75,24.22,20.49,31.6,23.67,10.27,93.87,7.6
C16-C16.9 Stomaco,0,0,0,0,0,3.42,0,3.58,30.18,38.54,48.98,71.16,113.02,135.25,167.01,213.03,420.99,300.38,59.31
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,3.75,0,8.2,4.51,15.78,0,18.77,1.77
C18-C18.9 Colon,0,0,0,0,3.69,0,6.52,7.16,3.77,7.01,20.41,71.16,92.84,147.54,261.8,213.03,349.11,262.84,56.77
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,3.42,0,0,0,7.01,0,11.24,12.11,20.49,31.6,71.01,82.14,18.77,9.88
C20-C20.9 Retto,0,0,0,0,0,0,0,7.16,7.55,3.5,16.33,14.98,40.36,106.56,126.39,157.8,82.14,150.19,28.64
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.5,0,3.75,0,0,9.03,7.89,0,18.77,1.52
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,3.77,0,4.08,18.73,64.58,86.07,117.36,181.47,123.22,56.32,27.37
C23-C23.9 Colecisti,0,0,0,0,0,0,0,3.58,0,0,0,0,8.07,12.3,0,7.89,10.27,18.77,2.28
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,4.08,3.75,8.07,4.1,22.57,31.56,30.8,56.32,5.07
C25-C25.9 Pancreas,0,0,0,0,0,0,0,7.16,3.77,0,20.41,14.98,40.36,32.79,45.14,71.01,112.95,93.87,16.47
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,3.58,0,0,0,0,4.04,0,4.51,7.89,10.27,0,1.27
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,3.26,0,0,0,0,0,0,4.1,4.51,0,0,18.77,1.01
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0.25
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,3.5,16.33,29.96,60.54,57.38,40.62,47.34,61.61,18.77,16.22
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,3.77,0,0,0,0,4.1,4.51,0,0,0,0.76
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.26,0,7.55,38.54,44.9,161.05,274.47,368.86,410.75,504.95,369.65,300.38,109.74
