ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,4.08,0,5.09,0.65
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,10.18,0.65
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,5.09,0.43
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,5.09,0.43
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0.22
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,5.09,0.43
C07-C07.9 Parotide,0,0,0,5.31,0,0,0,0,2.84,0,0,0,0,0,3.81,0,9.35,15.28,1.74
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,3.81,0,0,0,0.65
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0.22
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,3.81,0,0,0,0.43
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0.22
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,3.38,0,3.6,0,0,0,0,0,0.43
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,23.37,15.28,1.96
C16-C16.9 Stomaco,0,0,0,0,0,0,3.12,2.91,17.02,6.12,6.76,13.75,28.79,33.32,53.38,97.83,126.19,122.22,26.51
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,5.67,0,0,3.44,3.6,11.11,7.63,8.15,0,0,2.39
C18-C18.9 Colon,0,0,0,0,0,0,3.12,0,0,12.23,37.2,75.62,125.98,148.11,137.26,179.35,243.02,234.25,63.24
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,10.15,3.44,3.6,3.7,15.25,24.46,23.37,10.18,5
