ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0.24
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0.24
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,6.92,0,3.55,3.68,0,7.22,0,6.49,0,1.66
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,7.22,0,0,0,0.71
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0.24
C07-C07.9 Parotide,0,0,0,4.74,0,0,3.28,0,0,0,0,0,0,3.54,0,0,0,8.78,0.95
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,3.46,0,3.55,0,0,3.61,0,0,0,0.71
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0.24
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0.24
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.24
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,3.76,0,0,0,0,3.54,3.61,11.51,0,0,1.19
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,7.51,13.85,11.82,42.61,29.48,56.58,122.73,132.32,201.21,193.23,36.85
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,3.6,3.76,0,0,0,3.68,0,0,0,19.47,17.57,1.9
C18-C18.9 Colon,0,0,0,0,0,0,3.28,3.6,15.02,10.39,27.58,46.16,55.27,99.01,126.34,195.61,214.19,237.14,47.79
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,3.73,0,0,0,3.76,10.39,11.82,10.65,7.37,7.07,28.88,5.75,19.47,35.13,7.37
C20-C20.9 Retto,0,0,0,0,0,0,0,0,0,13.85,19.7,21.3,22.11,31.82,68.59,40.27,58.42,70.26,17.36
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,3.76,3.46,0,0,3.68,0,7.22,17.26,32.45,0,3.09
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,3.73,0,0,0,0,0,7.88,3.55,14.74,21.22,21.66,63.29,12.98,114.18,10.94
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.94,0,7.37,10.61,32.49,40.27,77.89,70.26,9.99
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.61,5.75,45.43,35.13,3.33
C25-C25.9 Pancreas,0,0,0,0,0,0,0,3.6,0,6.92,7.88,3.55,29.48,21.22,39.71,80.55,71.4,61.48,14.98
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,17.57,0.95
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,3.49,0,0,0,0,0,0,3.68,0,0,0,0,0,0.48
C31-C31.9 Seni accessori,0,0,0,4.74,0,0,0,0,0,0,0,3.55,0,0,0,0,0,8.78,0.71
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,0,3.55,7.37,0,0,0,0,8.78,0.95
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,10.79,11.27,10.39,19.7,24.86,36.85,56.58,68.59,80.55,84.38,96.61,24.73
C37-C37.9 Timo,0,0,0,0,0,3.49,0,0,0,0,3.94,0,0,0,0,0,0,0,0.48
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0.24
C40-C40.9 Ossa cart.art.arti,0,0,0,4.74,0,0,0,3.6,3.76,0,0,0,3.68,0,0,0,0,0,0.95
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,0,3.46,0,3.55,0,0,0,0,6.49,0,0.71
C43-C43.9 Melanoma della pelle,0,0,0,4.74,0,6.97,0,14.38,3.76,13.85,11.82,7.1,11.05,14.14,0,17.26,19.47,8.78,7.37
C44-C44.9 Pelle non melanomi,0,0,0,0,7.47,6.97,3.28,3.6,22.53,20.77,11.82,39.06,95.8,102.54,191.32,230.13,350.49,439.16,67.53
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,5.75,0,0,0.48
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.24
C47-C47.9 Nervi periferici s.n.auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.24
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,12.98,0,0.71
C49-C49.9 Tess.connettivo e molle,0,6.25,0,0,0,0,0,0,0,0,0,3.55,0,0,7.22,5.75,19.47,0,1.9
C50-C50.9 Mammella,0,0,0,0,0,0,19.7,71.9,161.48,169.65,200.95,213.05,221.09,233.38,267.13,270.4,259.62,245.93,129.35
C51-C51.9 Vulva,0,0,0,0,0,0,0,0,0,3.46,3.94,7.1,0,17.68,10.83,17.26,25.96,26.35,5.23
C52-C52.9 Vagina,0,0,0,0,0,0,0,0,0,0,3.94,3.55,0,3.54,3.61,5.75,6.49,0,1.43
C53-C53.9 Collo dell'utero,0,0,0,0,0,0,9.85,14.38,11.27,13.85,15.76,7.1,11.05,31.82,10.83,17.26,6.49,0,9.27
C54-C54.9 Corpo dell'utero,0,0,0,0,0,0,3.28,0,15.02,34.62,23.64,85.22,47.9,60.11,43.32,69.04,45.43,35.13,26.15
