ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,22.3,0.7
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,0,7.04,0,3.87,4.04,0,0,0,11.15,1.17
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,2.87,6.29,0,7.23,3.87,0,4.55,0,0,0,1.63
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,9.1,0,0,0,0.7
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,5.45,0,0,0.47
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,4.55,0,0,11.15,0.93
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,10.91,22.5,11.15,1.63
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,0,3.61,7.73,0,0,0,0,0,0.7
C10-C10.9 Orofaringe,0,0,0,0,0,0,3.13,0,0,3.15,3.52,3.61,0,0,0,0,0,0,0.93
C11-C11.9 Nasofaringe,0,0,5.32,0,0,0,0,2.92,0,3.15,0,0,0,0,4.55,0,0,0,0.93
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,5.45,0,0,0.47
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0.23
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,0,0,0.47
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,3.15,3.52,7.23,11.6,4.04,4.55,0,15,11.15,2.8
C16-C16.9 Stomaco,0,0,0,0,0,0,0,2.92,11.47,18.87,14.08,21.68,77.33,84.86,136.56,152.67,232.45,289.95,41.24
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,3.52,7.23,7.73,4.04,18.21,0,29.99,11.15,3.5
C18-C18.9 Colon,0,0,0,0,0,0,0,5.83,11.47,12.58,42.23,75.88,274.53,238.41,264.02,408.94,352.43,245.34,87.38
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,5.83,2.87,3.15,10.56,10.84,19.33,40.41,40.97,32.72,44.99,33.46,11.42
C20-C20.9 Retto,0,0,0,0,0,0,0,0,5.73,9.44,7.04,28.91,81.2,92.94,95.59,114.5,149.97,111.52,30.52
C21-C21.9 Ano e canale anale,0,0,0,0,0,3.79,0,0,0,0,0,3.61,0,0,4.55,5.45,0,0,0.93
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,5.73,9.44,14.08,28.91,34.8,52.53,86.49,76.34,112.48,22.3,20.74
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,4.55,10.91,0,11.15,1.17
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,0,3.87,8.08,9.1,10.91,52.49,44.61,4.19
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,0,3.15,7.04,10.84,34.8,32.33,59.18,54.53,59.99,89.22,14.45
C26-C26.9 Altri mal def.organi digerenti,0,5.22,0,0,0,0,0,0,2.87,0,3.52,0,0,4.04,4.55,0,7.5,0,1.4
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,3.52,3.61,0,0,4.55,0,0,0,0.7
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,3.61,3.87,0,0,0,0,0,0.47
C32-C32.9 Laringe,0,0,0,0,0,0,0,2.92,0,3.15,10.56,14.45,30.93,48.49,27.31,43.62,59.99,55.76,13.05
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,2.92,17.2,25.16,38.71,104.79,185.6,274.78,441.55,419.85,517.4,368.02,104.15
C37-C37.9 Timo,0,0,0,0,0,0,0,0,0,0,3.52,0,3.87,0,0,5.45,7.5,0,0.93
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,3.79,0,0,2.87,0,0,0,0,0,0,0,7.5,0,0.7
C40-C40.9 Ossa cart.art.arti,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0.23
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,2.87,0,0,0,0,8.08,0,5.45,15,0,1.4
C43-C43.9 Melanoma della pelle,0,0,0,0,0,3.79,3.13,11.67,11.47,15.73,17.6,21.68,7.73,32.33,27.31,32.72,29.99,22.3,12.58
C44-C44.9 Pelle non melanomi,0,0,0,4.93,9.05,7.59,9.39,17.5,31.54,53.47,77.42,130.08,193.33,319.22,427.9,730.64,1049.79,892.16,157.74
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,0,3.52,10.84,0,4.04,18.21,16.36,15,22.3,3.73
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0.23
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,2.87,3.15,0,3.61,0,0,0,5.45,0,0,0.93
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,2.92,5.73,3.15,3.52,0,3.87,0,9.1,0,0,11.15,2.1
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,2.87,0,3.52,3.61,0,4.04,4.55,0,7.5,0,1.4
